"estab_name","open_date","site_address","site_city","site_state","site_zip","open_year","standard","gravity","delete_flag","current_penalty","activity_nr"
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"",70000.00,311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 J05",10,"X","",311962674
"BP PRODUCTS NORTH AMERICA INC","2009-05-04","2401 5TH AVE S","TEXAS CITY","TX",77590,2009,"19100119 D03   II",10,"X","",311962674
